"ticker","industryAdjustedScore","governancePillarScore","environmentalPillarScore","socialPillarScore"
"BEN US",0.246806791429557,0.547457671227672,-0.715955287646679,0.297213922987765
"BF/B US",-0.548411716423935,0.360974198328105,-0.545819276928905,-0.846433816050397
"BIIB US",-0.265345327776921,0.194067579129646,-0.312286499674236,-0.718030261421725
"BIO US",-0.77566874037269,-0.77566874037269,-0.851441008069765,0.77566874037269
"BK US",-0.273144850669457,-0.430192525657121,0.58008313856333,-0.180892054185022
"BKNG US",NA,0.0115719476675811,NA,NA
"BLK US",0.665336855030449,0.158622601335109,0.78231408202671,-0.798859750753796
"BLL US",0.88296754618831,0.860089914111724,0.284998406468902,-0.216620380877684
"BMY US",-0.232488513480174,0.542729665650014,-0.13432212693942,0.304287989015284
"BR US",NA,-1,NA,NA
"BRCM US",0.610429008275726,-0.437833703984446,0.610429008275726,NA
"BRK/B US",0.0955343526754503,-0.11905817477871,0.856563374448919,-0.733465011717615
"BRO US",NA,1,NA,NA
"BSX US",0.379042515455288,0.654793497437545,0.642960771328103,0.448000485780449
"BWA US",-0.438520288646047,0.464948019773213,-0.579062729217016,-0.129378499350862
"BXP US",-0.687938947056493,-0.731235330127923,-0.692970292689532,-0.822398586530227
"C US",0.31454167352252,0.309983724710654,-0.0413554117949809,0.61854034551026
"CA US",-0.575792390041262,0.306269022354333,-0.732552973866918,-0.546180726490529
"CAG US",-0.597246557832119,-0.819555642193596,-0.551366439333959,-0.660249893990081
"CAH US",0.608897199139886,0.476952432219115,-0.722701194251463,-0.228549875173879
"CAM US",0.436765391018074,-0.491484227073127,0.436765391018074,-0.201236773615086
"CARR US",NA,-0.88249750329277,-0.88249750329277,NA
"CAT US",-0.683469727798126,-0.196557819155541,0.183496894573351,-0.278551911255759
"CB US",0.886866361714408,0.378407599850569,-0.830502509304806,0.914927743941897
"CBG US",0.632504338263793,-0.259661990545875,0.0365090266093288,-0.000906958689559579
"CBOE US",NA,-0.123121257406734,NA,NA
"CBRE US",0.820494330751805,-0.258568873166502,-0.820494330751805,0.820494330751805
"CBS US",-0.113223741414442,0.230335640859975,-0.23851679393583,-0.074750255437877
"CCL US",-0.84461870613881,-0.193405507639368,0.85514820660419,-0.1445487925406
"CDNS US",0.71367910210471,NA,-0.71367910210471,0.71367910210471
"CDW US",0.158610317143629,-0.480787523841625,-0.572415758357425,0.719877090039787
"CELG US",0.32975730536491,-0.20333914766155,-0.426859936631831,0.236223808630106
"CERN US",0.824908743510523,0.553052608995233,0.700968280797401,0.746879197590847
"CF US",0.248631732043939,-0.460587191475178,0.151164113828244,0.257697634989858
"CFG US",-1,-1,1,NA
"CFN US",NA,NA,NA,NA
"CHD US",0.531729737287919,-0.257061078079679,0.602662434173692,0.54051900846102
"CHK US",-0.531413745778662,-0.135300506640776,0.192491086444647,-0.322110021463857
"CHRW US",0.684202611428139,0.731713410118788,0.451562591842386,0.89090438519015
"CHTR US",-0.907294053025259,-0.858169370957938,-0.907294053025259,0.105961349258425
"CI US",0.853424752359992,0.455112719405032,0.514773657800268,0.8366903527136
"CINF US",0.796616464398627,0.584524663967409,-0.874230690270032,0.884537950077391
"CL US",0.480821764586363,0.438538141054975,-0.586238671359125,0.17324850262697
"CLX US",0.753735139045589,0.0764599807496707,0.50433528637775,-0.367173072831105
"CMA US",0.493037037882733,0.733140089773741,-0.185653294497281,-0.771496243035985
"CMCSA US",-0.447963777339066,-0.400716157660475,-0.823317562425655,-0.427986352191764
"CME US",0.940607704023904,0.175627835657391,-0.504855091978257,-0.115197481251604
"CMG US",0.757092909119153,0.591468416691429,-0.77143670740062,-0.196445104653154
"CMI US",-0.709752903948325,-0.2395021250077,0.521516447206161,-0.376577959444809
"CMS US",0.43038195887172,0.406586964690149,0.841865593257243,0.603687056537072
"CNC US",NA,0,0,0
"CNP US",0.316126602421753,-0.154907175653535,0.158035408656036,0.7150103078646
"CNX US",0.44415045263219,-0.0542577624576262,0.44415045263219,0.44415045263219
"COF US",0.675223986099644,0.485924185275764,NA,0.841513548639918
"COG US",0.720947063104734,0.359137923584154,-0.454933042515277,0.448941970592286
"COH US",-0.120262106695511,-0.0814012220053277,0.384809704110837,-0.185692643589606
"COL US",0.332649114219982,-0.455917019942921,0.786601535358416,0.177201177119897
"COO US",NA,-0.925118468029518,-0.925118468029518,-0.925118468029517
"COP US",-0.103110908801538,-0.0888652265982832,-0.0971872077339697,0.174143425126842
"COST US",0.844934222601048,0.343167617364248,0.616387483959142,0.840350415676891
"COV US",NA,NA,NA,NA
"CPB US",0.00937938452622228,-0.719172291175602,0.66124660909867,-0.665636042101824
"CPRT US",1,-1,NA,1
"CPT US",NA,-0.56295813210267,NA,NA
"CRL US",NA,1,NA,NA
"CRM US",0.645948452229589,-0.0767227552254412,0.00151113266455267,0.866228953661291
"CSCO US",0.807183003750947,-0.61179622775449,-0.807183003750947,0.807183003750947
"CSRA US",NA,NA,NA,NA
"CSX US",-0.3887268436463,0.354736646992681,-0.773684018850232,0.456834083569853
"CTAS US",0.925050234316379,0.910609713466937,0.481528798592985,0.749481510641245
"CTL US",-0.753097829752248,0.0871891814645126,-0.783035829163482,-0.747798146971123
"CTLT US",NA,-0.950935126402987,NA,0.849472520729416
"CTRA US",NA,NA,NA,NA
"CTSH US",0.404530742737415,-0.791879774733309,-0.337019982769176,0.13084934087297
"CTVA US",NA,-0.507298966451639,NA,NA
"CTXS US",0.451215943202113,-0.568157925708679,-0.240766084429728,0.468762192199822
"CVC US",-0.988900290471232,0.988900290471232,0.988900290471232,-0.988900290471232
"CVS US",0.0602814256222901,0.0600146718777886,0.770389881321352,-0.1358493655487
"CVX US",0.932726714851011,0.65048321031048,0.925405962553523,0.829437681056025
"D US",0.62577775739292,0.161781740876938,0.537493971705476,0.515569315023145
